label,x,y,z,timestamp,
18,-0.55719346,-0.35714382,0.42696252,0.6161872,0.5235988,1496906733393
18,-0.5607099,-0.36131367,0.42251077,0.61362976,0.5235988,1496906733398
18,-0.5642069,-0.36614522,0.41812935,0.6105539,0.5235988,1496906733403
18,-0.5677226,-0.37155268,0.41385818,0.6069276,0.5235988,1496906733407
18,-0.5712741,-0.3775307,0.4098472,0.60261244,0.5235988,1496906733412
18,-0.5748764,-0.38399175,0.40619308,0.5975572,0.5235988,1496906733418
18,-0.5785994,-0.3908082,0.40297344,0.59169596,0.5235988,1496906733422
18,-0.58250403,-0.3977354,0.40010086,0.5851623,0.5235988,1496906733427
18,-0.58656716,-0.40466473,0.39759004,0.5780204,0.5235988,1496906733433
18,-0.5908014,-0.41140515,0.39547196,0.570352,0.5235988,1496906733438
18,-0.595238,-0.41776133,0.393693,0.56229264,0.5235988,1496906733443
18,-0.60003304,-0.42325655,0.39205918,0.55416954,0.5235988,1496906733448
18,-0.6053237,-0.42758343,0.3904152,0.5461974,0.5235988,1496906733453
18,-0.61121625,-0.43046466,0.388487,0.5386954,0.5235988,1496906733458
18,-0.6176922,-0.4317623,0.3860236,0.5319995,0.5235988,1496906733463
18,-0.6248037,-0.43123853,0.382547,0.52660364,0.5235988,1496906733468
18,-0.6323975,-0.42900994,0.37766486,0.5228701,0.5235988,1496906733473
18,-0.64024615,-0.42534155,0.37106118,0.5210404,0.5235988,1496906733478
18,-0.6479816,-0.42072663,0.3627991,0.52104294,0.5235988,1496906733483
18,-0.6553671,-0.41554198,0.3531168,0.5226159,0.5235988,1496906733488
18,-0.6621521,-0.41011173,0.34250537,0.5254075,0.5235988,1496906733493
18,-0.6682411,-0.40451092,0.33149666,0.52908856,0.5235988,1496906733498
18,-0.67362,-0.39884236,0.32070708,0.5332053,0.5235988,1496906733502
18,-0.6785142,-0.39297974,0.31051204,0.5373711,0.5235988,1496906733507
18,-0.6830777,-0.38701707,0.30118904,0.5412096,0.5235988,1496906733512
18,-0.68746406,-0.3810739,0.29278323,0.54447573,0.5235988,1496906733517
18,-0.69195163,-0.37484458,0.28637457,0.54652,0.5235988,1496906733523
18,-0.69615763,-0.36949942,0.27968118,0.548282,0.5235988,1496906733528
18,-0.7002992,-0.3645863,0.273571,0.5493785,0.5235988,1496906733533
18,-0.7043707,-0.36018527,0.2679098,0.5498662,0.5235988,1496906733538
18,-0.7083213,-0.35633928,0.26267284,0.5498239,0.5235988,1496906733542
18,-0.7121395,-0.3529627,0.25773168,0.5494079,0.5235988,1496906733547
18,-0.7157315,-0.35002092,0.2531365,0.54875827,0.5235988,1496906733552
